index,family,taxon,synonyms,origin,status,state
277,CYPERACEAE,Scirpus polyphyllus,,,S2,AR
51,ASTERACEAE,Ageratina adenophora,Eupatorium adenophorum,,introduced,CA
52,SIMAROUBACEAE,Ailanthus altissima,,,introduced,CA
53,AIZOACEAE,Carpobrotus edulis,Mesembryanthemum edule,,introduced,CA
54,HYDROCHARITACEAE,Limnobium laevigatum,,,introduced,CA
55,LAMIACEAE,Mentha pulegium,,,introduced,CA
56,LAMIACEAE,Salvia aethiopis,,,introduced,CA
57,APIACEAE,Torilis arvensis,Torilis arvensis subsp. purpurea,,introduced,CA
58,ARECACEAE,Washingtonia robusta,,,introduced,CA
59,ARACEAE,Zantedeschia aethiopica,,,introduced,CA
60,ZOSTERACEAE,Zostera japonica,,,introduced,CA
41,EUPHORBIACEAE,Acalypha californica,,,native,CA
42,ASTERACEAE,Calycadenia mollis,,,native,CA
43,CACTACEAE,Cylindropuntia wolfii,,,native,CA
44,CYPERACEAE,Eleocharis ovata,Scirpus ovatus; Eleocharis obtusa var. ovata,,native,CA
45,ROSACEAE,Ivesia pygmaea,Horkelia chaetophora,,native,CA
46,BRASSICACEAE,Lepidium dictyotum,,,native,CA
47,POLEMONIACEAE,Leptosiphon bolanderi,Linanthus bolanderi,,native,CA
48,FABACEAE,Pediomelum californicum,Psoralea californica,,native,CA
49,ROSACEAE,Potentilla drummondii,,,native,CA
50,BORAGINACEAE,Tiquilia plicata,Coldenia plicata,,native,CA
61,CYPERACEAE,Carex stevenii,Carex norvegica,,S1,CA
62,PLANTAGINACEAE,Collinsia corymbosa,,,S1,CA
63,CACTACEAE,Echinocereus engelmannii howei,Echinocereus engelmannii,,S1,CA
64,LAMIACEAE,Hedeoma drummondii,,,S1,CA
65,FABACEAE,Lathyrus rigidus,,,S1,CA
66,FABACEAE,Lupinus citrinus deflexus,Lupinus deflexus,,S1,CA
67,BRASSICACEAE,Nasturtium gambelii,Cardamine gambelii; Rorippa gambelii,,S1,CA
68,PLANTAGINACEAE,Penstemon bicolor roseus,Penstemon bicolor,,S1,CA
69,POACEAE,Poa abbreviata marshii,,,S1,CA
70,ARACEAE,Wolffia brasiliensis,,,S1,CA
71,FABACEAE,Astragalus pseudiodanthus,Astragalus iodanthus var. pseudiodanthus,,S2,CA
72,CABOMBACEAE,Brasenia schreberi,Brasenia peltata; Brasenia purpurea; Cabomba peltata,,S2,CA
73,RHAMNACEAE,Ceanothus ferrisiae,Ceanothus ferrisae,,S2,CA
74,POLYGONACEAE,Eriogonum kelloggii,Eriogonum caespitosum var. kelloggii,,S2,CA
75,LAMIACEAE,Monardella sinuata nigrescens,,,S2,CA
76,PLANTAGINACEAE,Penstemon stephensii,,,S2,CA
77,ASTERACEAE,Pyrrocoma racemosa congesta,Haplopappus racemosus subsp. congestus,,S2,CA
78,CARYOPHYLLACEAE,Silene salmonacea,,,S2,CA
79,BRASSICACEAE,Streptanthus insignis lyonii,,,S2,CA
80,LAMIACEAE,Trichostema ruygtii,,,S2,CA
131,ASTERACEAE,Crupina vulgaris,,,introduced,CO
132,POLYGONACEAE,Polygonum cuspidatum,,,introduced,CO
133,ASTERACEAE,Arctium minus,,,introduced,CO
134,ASTERACEAE,Artemisia absinthium,,,introduced,CO
135,APIACEAE,Carum carvi,,,introduced,CO
136,ASTERACEAE,Centaurea diffusa,,,introduced,CO
137,EUPHORBIACEAE,Euphorbia esula,,,introduced,CO
138,SOLANACEAE,Hyoscyamus niger,,,introduced,CO
139,LYTHRACEAE,Lythrum salicaria,,,introduced,CO
140,ROSACEAE,Potentilla recta,,,introduced,CO
121,PINACEAE,Abies bifolia,,,native,CO
122,CRASSULACEAE,Crassula drummondii,,,native,CO
123,POLEMONIACEAE,Aliciella subacaulis,Gilia subacualis,,native,CO
124,AMARANTHACEAE,Corispermum americanum,,,native,CO
125,BORAGINACEAE,Cryptantha ambigua,,,native,CO
126,ROSACEAE,Dryas octopetala,,,native,CO
127,POACEAE,Elymus lanceolatus,,,native,CO
128,ASPARAGACEAE,Maianthemum stellatum,,,native,CO
129,ONAGRACEAE,Oenothera coronopifolia,,,native,CO
130,ASTERACEAE,Oonopsis engelmannii,,,native,CO
141,FABACEAE,Astragalus jejunus,,,S1,CO
142,FABACEAE,Astragalus schmolliae,,,S1,CO
143,POLYGONACEAE,Eriogonum clavellatum,,,S1,CO
144,POLEMONIACEAE,Ipomopsis polyantha,,,S1,CO
145,BORAGINACEAE,Mertensia humilis,,,S1,CO
146,RANUNCULACEAE,Myosurus nitidus,,,S1,CO
147,PLANTAGINACEAE,Penstemon penlandii,,,S1,CO
148,BRASSICACEAE,Physaria pulvinata,,,S1,CO
149,BRASSICACEAE,Physaria rollinsii,,,S1,CO
150,AMARANTHACEAE,Proatriplex pleiantha,,,S1,CO
151,ASTERACEAE,Bolophyta ligulata,,,S2,CO
152,CYPERACEAE,Carex stenoptila,,,S2,CO
153,POLYGONACEAE,Eriogonum contortum,,,S2,CO
154,BRASSICACEAE,Lepidium crenatum,,,S2,CO
155,FABACEAE,Pediomelum aromaticum,,,S2,CO
156,PLANTAGINACEAE,Penstemon breviculus,,,S2,CO
157,PLANTAGINACEAE,Penstemon degeneri,,,S2,CO
158,IRIDACEAE,Sisyrinchium pallidum,,,S2,CO
159,ASTERACEAE,Townsendia fendleri,,,S2,CO
160,ASTERACEAE,Townsendia glabella,,,S2,CO
31,PHYLLANTHACEAE,Bischofia javanica,,not native,introduced,FL
32,CLUSIACEAE,Calophyllum antillanum,,not native,introduced,FL
33,CASURINACEAE,Casuarina equisetifolia,,not native,introduced,FL
34,ARACEAE,Colocasia esculenta,,not native,introduced,FL
35,MYRTACEAE,Eugenia uniflora,,not native,introduced,FL
36,POACEAE,Hymenachne amplexicaulis,,not native,introduced,FL
37,OLEACEAE,Jasminum dichotomum,,not native,introduced,FL
38,ARACEAE,Pistia stratiotes,,not native,introduced,FL
39,ARACEAE,Syngonium podophyllum,,not native,introduced,FL
40,MALVACEAE,Thespesia populnea,,not native,introduced,FL
21,ASTERACEAE,Symphyotrichum sericeum microphyllum,,native,native,FL
22,LOGANIACEAE,Spigelia marilandica,,native,native,FL
23,ASTERACEAE,Solidago leavenworthii,,native,native,FL
24,CYPERACEAE,Carex albicans australis,,native,native,FL
25,CYPERACEAE,Carex typhina,,native,native,FL
26,BRASSICACEAE,Draba brachycarpa,,native,native,FL
27,ASTERACEAE,Helianthus resinosus,,native,native,FL
28,ERICACEAE,Eubotrys racemosa,Leucothoe racemosa,native,native,FL
29,FABACEAE,Mimosa strigillosa,,native,native,FL
30,POACEAE,Schizachyrium scoparium scoparium,Schizachyrium rhizomatum,native,native,FL
1,CONVOLVULACEAE,Ipomoea tenuissima,,native,S1,FL
2,BRASSICACEAE,Boechera canadensis,Arabis canadensis,native,S1,FL
3,ASPLENIACEAE,Asplenium x curtissii,,endemic,S1,FL
4,ASTERACEAE,Balduina atropurpurea,,native,S1,FL
5,SAPOTACEAE,Sideroxylon thornei,,native,S1,FL
6,POLYGALACEAE,Polygala smallii,,endemic,S1,FL
7,FABACEAE,Tephrosia angustissima corallicola,,native,S1,FL
8,APOCYNACEAE,Matelea baldwyniana,,native,S1,FL
9,ERICACEAE,Monotropa hypopithys,,native,S1,FL
10,FABACEAE,Lupinus aridorum,,native,S1,FL
11,MALVACEAE,Pavonia spinifex,,native,S2,FL
12,SAPOTACEAE,Sideroxylon lycioides,,native,S2,FL
13,CACTACEAE,Harrisia aboriginum,,endemic,S2,FL
14,EUPHORBIACEAE,Chamaesyce porteriana,,endemic,S2,FL
15,ASTERACEAE,Rudbeckia triloba,,native,S2,FL
16,ORCHIDACEAE,Dendrophylax lindenii,,native,S2,FL
17,MYRTACEAE,Mosiera longipes,,native,S2,FL
18,ASTERACEAE,Verbesina heterophylla,,endemic,S2,FL
19,FABACEAE,Lupinus westianus,,endemic,S2,FL
20,ERICACEAE,Rhododendron alabamense,,native,S2,FL
163,COMMELINACEAE,Murdannia keisak,,,introduced,GA
